이름,카테고리,가격,단위,정규이름
백진주 쌀 4kg,과일_견과_쌀,20900,4kg,백진주쌀
맛나 대추방울토마토 750g,과일_견과_쌀,9990,750g,맛나대추방울토마토
[MPARK] 블랙라벨 고당도 오렌지 1.2kg (5~6입),과일_견과_쌀,7990,2kg,[mpark]블랙라벨고당도오렌지1.(5~)
하우스 대석 자두 300g (4~7입),과일_견과_쌀,12900,300g,하우스대석자두(4~)
[닥터넛츠] 저당 다크초콜릿 견과 3종,과일_견과_쌀,6980,기타,[닥터넛츠]저당다크초콜릿견과3종
[MPARK] 이스라엘 자몽 1.5kg (5~6입),과일_견과_쌀,9990,5kg,[mpark]이스라엘자몽1.(5~)
[Dole] 스위티오 파인애플 청크 400g,과일_견과_쌀,7990,400g,[dole]스위티오파인애플청크
[HBAF] 먼투썬 하루견과 블랙 20gx20봉,과일_견과_쌀,19900,20g,[hbaf]먼투썬하루견과블랙x
임금님표 이천쌀 알찬미 쌀 4kg,과일_견과_쌀,28900,4kg,임금님표이천쌀알찬미쌀
태국산 마하차녹 무지개 망고 600g (2입),과일_견과_쌀,8990,600g,태국산마하차녹무지개망고()
미국산 캘리포니아 생체리 300g (9.5row),과일_견과_쌀,13900,300g,미국산캘리포니아생체리(9.5row)
[압구정주꾸미] 주꾸미 볶음 2종 (택1),수산_해산_건어물,6500,기타,[압구정주꾸미]주꾸미볶음2종(택1)
[비비고] 순살 생선구이 4종 (택1),수산_해산_건어물,4480,기타,[비비고]순살생선구이4종(택1)
[KF365] 항공직송 노르웨이 생연어 6종 (택1),수산_해산_건어물,15900,기타,[kf365]항공직송노르웨이생연어6종(택1)
[압구정낙지] 낙지 볶음 2종 (택1),수산_해산_건어물,7500,기타,[압구정낙지]낙지볶음2종(택1)
[KF365] 에어프라이어용 생선까스,수산_해산_건어물,9590,기타,[kf365]에어프라이어용생선까스
"[2개 이상 구매시, 20%할인] 프리미엄 생새우살 3종 (냉동)",수산_해산_건어물,6290,2개,"[이상구매시,20%할인]프리미엄생새우살3종(냉동)"
[우주] 프리미엄 손질 생새우살 200g (냉동)(26/30사이즈),수산_해산_건어물,6490,200g,[우주]프리미엄손질생새우살(냉동)(26/30사이즈)
[오봉집] 낙지볶음 2종 (냉동),수산_해산_건어물,6690,기타,[오봉집]낙지볶음2종(냉동)
[Sea to Table] 손질 생새우살 200g (냉동) (26/30 사이즈),수산_해산_건어물,7220,200g,[seatotable]손질생새우살(냉동)(26/30사이즈)
[연안식당] 인기 해물 탕 4종 (택1),수산_해산_건어물,9890,기타,[연안식당]인기해물탕4종(택1)
[KF365] 국산 손질오징어 300g (냉장),수산_해산_건어물,14000,300g,[kf365]국산손질오징어(냉장)
[압구정오징어] 갑오징어 볶음 2종 (택1),수산_해산_건어물,8500,기타,[압구정오징어]갑오징어볶음2종(택1)
[KF365] 노르웨이 생연어회 200g (냉장),수산_해산_건어물,15900,200g,[kf365]노르웨이생연어회(냉장)
